impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,levy,1024,100,1000,4,64.682709,5.639884,10.963412,81.286003,0.97463572,35.323375,25.194990
gpu,levy,1024,100,1000,5,64.573708,5.573639,11.008254,81.155602,3.3909785e-06,35.380133,25.235473
gpu,levy,4096,10,1000,1,10.016953,7.088255,6.904163,24.009373,7.6427419e-15,48.450412,34.120008
gpu,levy,4096,10,1000,2,10.018750,7.030849,6.909087,23.958685,7.6427419e-15,48.552915,34.192194
gpu,levy,4096,10,1000,3,10.028097,7.147742,6.905660,24.081497,7.6427419e-15,48.305302,34.017818
gpu,levy,4096,10,1000,4,10.011972,7.143105,6.975071,24.130148,7.6427419e-15,48.207910,33.949232
gpu,levy,4096,10,1000,5,10.048826,7.065507,6.936160,24.050493,7.6427419e-15,48.367574,34.061671
gpu,levy,4096,30,1000,1,20.508589,7.103781,8.300404,35.912773,7.6427419e-15,96.261683,68.432476
gpu,levy,4096,30,1000,2,20.543869,7.155712,8.296305,35.995888,7.6427419e-15,96.039415,68.274466
gpu,levy,4096,30,1000,3,20.640875,7.126908,8.260565,36.028351,7.6427419e-15,95.952879,68.212947
gpu,levy,4096,30,1000,4,20.607134,7.289158,8.286233,36.182526,7.6427419e-15,95.544021,67.922290
gpu,levy,4096,30,1000,5,20.731596,7.146498,8.307180,36.185272,7.6427419e-15,95.536769,67.917134
gpu,levy,4096,100,1000,1,67.610199,7.621254,29.134003,104.365456,3.076833e-10,110.047754,78.493405
gpu,levy,4096,100,1000,2,67.754303,7.654986,28.891506,104.300797,7.6427419e-15,110.115976,78.542066
gpu,levy,4096,100,1000,3,67.679848,7.541604,28.669954,103.891403,6.4486163e-14,110.549898,78.851568
gpu,levy,4096,100,1000,4,68.187889,7.540484,29.020767,104.749138,1.1275963e-09,109.644664,78.205894
gpu,levy,4096,100,1000,5,66.574127,7.542828,28.964527,103.081482,0.97371203,111.418499,79.471112
