D,N,ranks,category,name,total_ms,percent
30,2097152,16,api,cuModuleGetLoadingMode,0.0042,0.00
30,2097152,16,api,cuInit,0.0038,0.00
30,2097152,16,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",359.1647,38.10
30,2097152,16,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",339.0614,36.00
30,2097152,16,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",221.4993,23.50
30,2097152,16,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",16.3844,1.70
30,2097152,16,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",3.0920,0.30
30,2097152,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,2.3108,0.20
30,2097152,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2180,0.00
30,2097152,16,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1391,0.00
30,2097152,16,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,1,api,cudaDeviceSynchronize,3728.1752,67.70
30,8388608,1,api,cudaMemcpy,1750.4361,31.80
30,8388608,1,api,cudaFree,13.6775,0.20
30,8388608,1,api,cudaMemcpyFromSymbol,8.7561,0.20
30,8388608,1,api,cudaLaunchKernel,5.0934,0.10
30,8388608,1,api,cudaMalloc,1.9489,0.00
30,8388608,1,api,cudaEventRecord,0.9799,0.00
30,8388608,1,api,cudaEventCreate,0.3067,0.00
30,8388608,1,api,cuGetProcAddress_v2,0.1823,0.00
30,8388608,1,api,cudaEventDestroy,0.1607,0.00
30,8388608,1,api,cudaMemset,0.0109,0.00
30,8388608,1,api,cudaEventSynchronize,0.0066,0.00
30,8388608,1,api,cuInit,0.0045,0.00
30,8388608,1,api,cuModuleGetLoadingMode,0.0042,0.00
30,8388608,1,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.6594,38.50
30,8388608,1,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1294.8127,34.70
30,8388608,1,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",907.4025,24.30
30,8388608,1,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",72.3486,1.90
30,8388608,1,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.6179,0.30
30,8388608,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.0951,0.20
30,8388608,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2509,0.00
30,8388608,1,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1652,0.00
30,8388608,1,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,2,api,cudaDeviceSynchronize,3735.3958,58.30
30,8388608,2,api,cudaMemcpy,2630.7435,41.00
30,8388608,2,api,cudaMemcpyFromSymbol,17.0037,0.30
30,8388608,2,api,cudaFree,15.0482,0.20
30,8388608,2,api,cudaLaunchKernel,6.2987,0.10
30,8388608,2,api,cudaMalloc,4.9478,0.10
30,8388608,2,api,cudaEventRecord,1.1604,0.00
30,8388608,2,api,cudaEventCreate,0.4158,0.00
30,8388608,2,api,cudaEventDestroy,0.2194,0.00
30,8388608,2,api,cuGetProcAddress_v2,0.1238,0.00
30,8388608,2,api,cudaMemset,0.0139,0.00
30,8388608,2,api,cudaEventSynchronize,0.0099,0.00
30,8388608,2,api,cuModuleGetLoadingMode,0.0047,0.00
30,8388608,2,api,cuInit,0.0031,0.00
30,8388608,2,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.1500,38.40
30,8388608,2,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1302.3614,34.80
30,8388608,2,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",906.8738,24.30
30,8388608,2,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",73.4429,2.00
30,8388608,2,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.9112,0.30
30,8388608,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.0997,0.20
